Cultivar_ID,Cultivar,Cultivar_Alias,Female_ID,Female,Male_ID,Male,Subcollection,State,Country,Year,Pedigree_Original,MG,Stem_Termination,Flower_Color,Pubescence_Color,Pubescence_Form,Pubescence_Density,Pod_Color,Seedcoat_Luster,Seedcoat_Color,Hilum_Color,Other_(Seed),Other_(Leaf),Other_(Plant)
PI 525454,Spencer,,Z000009,A75-305022,PI 548512,Century,Modern,Indiana,United States,1988,A75-305022 x Century A75-305022 is from Wye x (Amsoy x Wayne),4,N,W,T,E,N,Br,D,Y,Br,,,
PI 561700,Erie,,Z000011,A78-123018,PI 548529,Century 84,Modern,Ohio,United States,1991,A78-123018 x Century 84. A78-123018 from Pride 'B216' x 'Hodgson'.,2,N,P,T,E,N,Br,D,Y,Br,,,
PI 537095,Marcus,,Z000012,A79-135010,PI 556637,Asgrow A1937,Modern,Iowa,United States,1989,A79-135010 x Asgrow 'A1937' A79-135010 is from Pride B216 x Cumberland,2,N,W,T,E,N,Tn,D,Y,Br,,,
PI 567785,OAC Shire,,Z000017,A80-147002,PI 556777,A1895,Modern,Ontario,Canada,1991,A80-147002 x A1895,1,N,P,T,E,N,Br,D,Y,Bl,,,
PI 564718,Thorne,,Z000018,A80-344003,PI 556511,Asgrow A3127,Modern,Ohio,United States,1992,F5-derived line from A80-344003 x A3127BC3F2-1,3,N,W,T,E,N,Br,D,Y,Bl,,,
PI 595926,Athow,,Z000020,A86-301024,PI 534645,Resnik,Modern,Indiana,United States,1996,A86-301024 x Resnik,3,N,P,T,E,N,Tn,D,Y,Bl,,,
PI 548692,AP 200,,Z000023,Amsoy Phytophthora 225,PI 548500,Swift,Private,Indiana,United States,1980,Amsoy Phytophthora 225 x Swift,2,N,W,G,E,N,Br,S,Y,Bf,,,
PI 608726,MN1401,,Z000029,BSR101,PI 542042,Kato,Modern,Minnesota,United States,2000,BSR101 x Kato,1,N,P,T,E,N,Tn,D,Y,Bl,,,
PI 548538,Columbus,,Z000032,C1069,PI 548533,Clark,Modern,Kansas,United States,1971,"C1069 x Clark C1069 is from C985 (Lincoln x Ogden), a 'Kent' progenitor",4,N,P,T,E,N,Br,D,Y,Bl,,,
PI 548503,Adelphia,,Z000033,C1070,PI 548502,Adams,Modern,Indiana,United States,1964,"C1070 x Adams C1070 is from C985 (Lincoln x Ogden), a 'Kent' progenitor",3,N,W,G,E,N,Tn,S,Y,Bf,,,
Z000040,C1430,,Z000034,C1253,PI 548586,Kent,,,,,,,,,,,,,,,,,,
Z000041,C1432,,Z000034,C1253,PI 548586,Kent,,,,,,,,,,,,,,,,,,
PI 548510,Beeson,,Z000034,C1253,PI 548586,Kent,Modern,Indiana,United States,1968,C1253 (Blackhawk x Harosoy) x Kent,2,N,P,G,E,N,Br,S,Y,Ib,,,
PI 548527,Calland,,Z000034,C1253,PI 548586,Kent,Modern,Indiana,United States,1968,C1253 (Blackhawk x Harosoy) x Kent,3,N,P,T,E,N,Br,D,Y,Bl,,,
PI 548524,Weber,,Z000042,C1453,PI 548500,Swift,Modern,Iowa,United States,1979,"C1453 [C1266R (Harosoy x C1079) x C1253] x Swift C1079 is from C985 (Lincoln x Ogden), a 'Kent' progenitor C1253 is from Blackhawk x Harosoy",1,N,W,T,E,N,Br,D,Y,Bl,,,
PI 596540,Camp-lx2,,Z000046,Camp2,,Unknown,Modern,Kentucky,United States,1996,Camp2 x (Vance2 x L2-3),5,D,P,G,Sa,N,Tn,I,Y,Y,,Na,
PI 662952,Gardensoy 11,,Z000047,Century-l,PI 548550,Disoy,Modern,Illinois,United States,2000,Century-l x 2(L2-3) x Disoy,1,N,P,G,E,N,Tn,,Y,Y,,,
PI 662955,Gardensoy 22,,Z000047,Century-l,PI 548550,Disoy,Modern,Illinois,United States,2000,Century-l x 2(L2-3) x Disoy,2,N,P,G,E,N,Tn,,Y,Y,,,
PI 612157,Prichard,,Z000050,Coker 82-622,PI 548971,Howard,Modern,Georgia,United States,2000,Coker 82-622 x Howard,8,D,W,G,A,N,Tn,I,Y,Bf,,,
PI 617041,Santee,,Z000050,Coker 82-622,PI 518664,Hutcheson,Modern,South Carolina,United States,2001,Coker 82-622 x Hutcheson.,7,D,W,G,A,N,Br,D,Y,Bf,,,
PI 657626,CL0J095-4,,Z000054,CX1705R-108 ,PI 597386,Dwight,Modern,Indiana,United States,2009,CX1705R-108 x Dwight,3,N,P,T,,,Tn,D,Y,G,,,
PI 548988,Pickett,,Z000059,D49-2491,PI 548656,Lee,Modern,North Carolina,United States,1965,(D49-2491(6) x Dorman) x (Lee(4) x Peking),6,D,P,G,E,N,Tn,S,Y,Ib,,,
PI 548969,Alamo,,Z000059,D49-2491,PI 240664,,Modern,Florida,United States,1978,D49-2491 x PI 240664 D49-2491 is closely related and very similar to 'Lee'. PI 240664 is an introduction from the Philippines.,9,D,P,T,Sa,Ssp,Tn,S,Y,Bl,,,
PI 548666,Hardee,,Z000062,D49-772,PI 548461,Improved Pelican,Modern,Florida,United States,1962,D49-772 x Improved Pelican D49-772 is from Roanoke x N45-745 (Ogden x CNS),8,D,W,G,E,N,Tn,S,Y,Bf,,,
PI 548975,Centennial,,Z000071,D64-4636,PI 548982,Pickett 71,Modern,Mississippi,United States,1976,D64-4636 x a tawney pubescent 'Pickett 71' type D64-4636 is from Hill x (D49-2491(4) x Jackson),6,D,P,T,Sa,N,Tn,I,Y,Bl,,,
PI 548604,Pershing,,Z000073,D67-3297,PI 548667,Essex,Modern,Missouri,United States,1984,D67-3297 [Hill(2) x Kisaya (PI 171450)] x Essex  ,4,D,W,G,E,N,Tn,S,Y,Bf,,,
PI 548991,TN 5-85,,Z000074,D68-127,PI 548667,Essex,Modern,Tennessee,United States,1986,D68-127 x Essex   D68-127 is from the same F3 line as Forrest,5,D,W,G,A,N,Tn,D,Y,Bf,,,
PI 527704,A6785,,Z000077,D74-7741,PI 508266,Young,Private,Arkansas,United States,1986,F4 selection of D74-7741 x Young,6,D,W,G,Sa,N,Tn,D,Y,Bf,,,
PI 576154,Doles,,Z000077,D74-7741,PI 508266,Young,Modern,Georgia,United States,1993,Derived from F5 plant from D74-7741 x Young. D74-7741 is a breeding line selected from Forrest x D70-3001. D70-3001 is a breeding line from the same cross as Centennial,6,D,W,T,E,N,Tn,S,Y,Bl,,,
PI 568236,Maxcy,,Z000079,D76-9665,PI 508267,Johnston,Modern,South Carolina,United States,1992,D76-9665 x Johnston,8,D,P,T,E,N,Tn,I,Y,Bl,,,
PI 564261,Vernal,,Z000080,D77-12244,PI 548974,Bedford,Modern,Mississippi,United States,1992,D77-12244 x Bedford.,6,D,W,G,Sa,N,Tn,I,Y,Bf,Vhil,,
PI 602496,Pace,,Z000084,D87-5963,,Unknown,Modern,Mississippi,United States,1996,D87-5963 x (Epps x Sharkey F1).,5,D,W,G,Sa,N,Tn,I,Y,Bf,,,
PI 548649,Nattawa,,Z000091,DW-5,PI 548498,Acme,Modern,Ontario,Canada,1981,DW-5 x Acme DW-5 is from M62-173 x G. soja. M62-173 is from M387 x M406 M387 is from Renville x Capital M406 is from Harosoy x Norchief,0,N,P,G,Sa,N,Br,D,Y,Y,,,
PI 602060,Olympus,,Z000092,E84108,PI 525453,Conrad,Modern,Michigan,United States,1998,E84108 x Conrad.,2,N,P,T,E,N,,D,Y,Bl,,,
PI 608438,Titan,,Z000093,E86067,PI 537094,Kenwood,Modern,Michigan,United States,1999,E86067 x Kenwood,1,N,P,T,E,N,Br,D,Y,Bl,,,
PI 548662,Hutton,,Z000095,F55-822,,Unknown,Modern,Florida,United States,1972,F55-822 x (Roanoke x CNS-4) F55-822 is from Jackson x D49-2491 (S-100 x CNS) CNS-4 is a selection from CNS,8,D,P,T,E,N,Tn,I,Y,Bl,,,
PI 548659,Braxton,,Z000097,F59-1505,,Unknown,Modern,Florida,United States,1979,F59-1505 x (Bragg(3) x D60-7965) F59-1505 is from Jackson x D49-2491 (S-100 x CNS) D60-7965 is from D55-4090 (Ogden x CNS) x D55-4159 D55-4159 is from Ogden x Bilo x i,7,D,P,T,E,N,Tn,I,Y,Bl,,,
PI 548544,Crest,,Z000100,F8-291,PI 548378,Mandarin,Modern,Ontario,Canada,1957,F8-291 (Manitoba Brown x Mandarin) x Mandarin The crossing was done at Ottawa and presumably 'Mandarin (Ottawa)' was the strain used,0,N,P,G,E,N,Br,S,Y,Y,,,
PI 548514,Bethel,,Z000102,FC 33243,PI 548603,Perry,Modern,Delaware,United States,1961,FC 33243 x Perry,4,N,W,G,E,N,Br,D,Y,Y,,,
PI 548638,OAC Libra,,Z000103,FH 31-3,PI 548560,Evans,Modern,Ontario,Canada,1985,FH 31-3 (Fiskeby V x Harosoy 63) x Evans Fiskeby V is PI 360955 from Sweden,0,N,W,T,E,N,Br,D,Y,Bl,,,
PI 607528,Delsoy 5710,,Z000112,Hartz 5164,PI 543795,Hartwig,Modern,Missouri,United States,1999,Hartz 5164 x Hartwig,5,D,W,T,Sa,N,Tn,I,Y,Bl,,,
PI 639187,UA 4805,,Z000113,Hartz 5545,PI 595081,KS 4895,Modern,Arkansas,United States,2005,F4 selection from Hartz 5545 x KS 4895.,4,D,P,G,E,N,Tn,D,Y,Bf,,,
PI 648270,Osage,,Z000113,Hartz 5545,PI 595081,KS 4895,Modern,Arkansas,United States,2007,individual F4 plant selection from the cross Hartz 5545 x KS 4895. Hartz 5545 was derived from the cross H78-168 x Narow. The parents of H78-168 were D70-3115 x Forrest. D70-3115 was derived from D64-4636 x Lee. D64-4636 was a selection from Hill x D58-3311. KS 4895 was derived from the cross Sherman x Bay.,5,D,P,G,Sa,N,Tn,D,Y,Ib,,,
PI 614153,Croton 3.9,,Z000119,HC80-1944,PI 556511,Asgrow A3127,Modern,Ohio,United States,2000,HC80-1944 x Asgrow A3127,3,N,P,T,E,N,Tn,D,Y,Bl,,,
PI 593654,Stressland,,Z000120,HC80-1946,PI 556511,Asgrow A3127,Modern,Ohio,United States,1994,HC80-1946 x Asgrow A3127,4,N,P,T,E,N,Tn,D,Y,Bl,,,
PI 632401,Apex,,Z000122,HC85-607,Z000114,HC 78-676BC,Modern,Ohio,United States,2003,HC85-607 x HC 78-676BC,3,D,P,T,E,N,Br,S,Y,Bl,,,
PI 643146,Prohio,,Z000125,HC94-81PR,PI 561717,A2506,Modern,Ohio,United States,2008,HC94-81PR x A2506. HC94-81PR: Charleson x Sprite 87.,4,N,P,T,E,N,Tn,D,Y,Bl,,,
PI 596407,Defiance,,Z000127,HM8778,PI 556814,Asgrow A3733,Modern,Ohio,United States,1996,HM8778 x A3733,3,N,P,G,E,N,Br,D,Y,Ib,,,
PI 548592,Maple Amber,,Z000128,Holmberg 840-7-3,,Unknown,Modern,Ontario,Canada,1981,Holmberg 840-7-3 x (Harosoy 63 x Altona) Holmberg 840-7-3 is from 201-14-20 (PI 196491 sib) x 680+993+994 (Muncheberg),0,N,P,T,E,N,Br,D,Y,Br,,,
PI 612931,HF93-083,,Z000130,HS84-6224,PI 542710,Chapman,Modern,Ohio,United States,2000,HS84-6224 x Chapman,2,N,P,G,E,N,Br,I,Y,Ib,,,
PI 629008,OHIO FG3,,Z000135,HS89-8843,PI 584469,Ohio FG1,Modern,Ohio,United States,2002,HS89-8843 x 'Ohio FG1'. HS89-8843 is from 'Hayes' x 'LS301'.,2,N,P,G,E,N,Br,D,Y,Y,,,
